datetime,temperature,humidity,precipitation,wind_speed,date,hour,day,day_number
2026-09-06 00:00:00,29.0,84,0.0,10.3,2026-09-06,0,Sunday,6
2026-09-06 01:00:00,28.8,83,0.0,11.3,2026-09-06,1,Sunday,6
2026-09-06 02:00:00,28.5,82,0.0,14.6,2026-09-06,2,Sunday,6
2026-09-06 03:00:00,27.6,80,0.0,16.8,2026-09-06,3,Sunday,6
2026-09-06 04:00:00,26.7,84,0.0,13.6,2026-09-06,4,Sunday,6
2026-09-06 05:00:00,26.7,88,0.0,14.2,2026-09-06,5,Sunday,6
2026-09-06 06:00:00,26.7,88,0.0,11.7,2026-09-06,6,Sunday,6
2026-09-06 07:00:00,27.7,85,0.0,10.2,2026-09-06,7,Sunday,6
2026-09-06 08:00:00,28.8,81,0.0,10.7,2026-09-06,8,Sunday,6
2026-09-06 09:00:00,30.5,75,0.0,9.8,2026-09-06,9,Sunday,6
2026-09-06 10:00:00,32.4,65,0.0,10.0,2026-09-06,10,Sunday,6
2026-09-06 11:00:00,33.7,58,0.0,9.7,2026-09-06,11,Sunday,6
2026-09-06 12:00:00,34.5,55,0.0,6.6,2026-09-06,12,Sunday,6
2026-09-06 13:00:00,34.7,55,0.0,4.2,2026-09-06,13,Sunday,6
2026-09-06 14:00:00,33.8,64,0.0,7.1,2026-09-06,14,Sunday,6
2026-09-06 15:00:00,31.6,78,0.9,9.1,2026-09-06,15,Sunday,6
2026-09-06 16:00:00,31.3,79,0.9,8.4,2026-09-06,16,Sunday,6
2026-09-06 17:00:00,30.9,78,0.1,8.1,2026-09-06,17,Sunday,6
2026-09-06 18:00:00,30.0,85,0.0,10.3,2026-09-06,18,Sunday,6
2026-09-06 19:00:00,29.5,86,0.0,11.2,2026-09-06,19,Sunday,6
2026-09-06 20:00:00,29.3,85,0.0,12.4,2026-09-06,20,Sunday,6
2026-09-06 21:00:00,29.2,87,0.0,12.7,2026-09-06,21,Sunday,6
2026-09-06 22:00:00,29.0,89,0.2,13.0,2026-09-06,22,Sunday,6
2026-09-06 23:00:00,28.9,88,0.0,11.3,2026-09-06,23,Sunday,6
2026-09-07 00:00:00,28.6,90,0.0,10.0,2026-09-07,0,Monday,7
2026-09-07 01:00:00,28.3,87,0.0,10.4,2026-09-07,1,Monday,7
2026-09-07 02:00:00,27.8,86,0.0,11.2,2026-09-07,2,Monday,7
2026-09-07 03:00:00,27.4,88,0.0,11.0,2026-09-07,3,Monday,7
2026-09-07 04:00:00,27.0,89,0.0,10.7,2026-09-07,4,Monday,7
2026-09-07 05:00:00,26.9,89,0.0,11.3,2026-09-07,5,Monday,7
2026-09-07 06:00:00,27.0,89,0.0,11.2,2026-09-07,6,Monday,7
2026-09-07 07:00:00,28.0,86,0.0,9.3,2026-09-07,7,Monday,7
2026-09-07 08:00:00,30.0,76,0.0,8.5,2026-09-07,8,Monday,7
2026-09-07 09:00:00,32.1,62,0.0,9.5,2026-09-07,9,Monday,7
2026-09-07 10:00:00,33.3,57,0.0,8.8,2026-09-07,10,Monday,7
2026-09-07 11:00:00,34.4,52,0.0,6.1,2026-09-07,11,Monday,7
2026-09-07 12:00:00,34.8,49,0.1,0.9,2026-09-07,12,Monday,7
2026-09-07 13:00:00,34.1,54,0.2,5.3,2026-09-07,13,Monday,7
2026-09-07 14:00:00,33.0,64,0.2,10.4,2026-09-07,14,Monday,7
2026-09-07 15:00:00,32.0,69,0.1,12.9,2026-09-07,15,Monday,7
2026-09-07 16:00:00,31.2,71,0.1,14.9,2026-09-07,16,Monday,7
2026-09-07 17:00:00,30.6,75,0.0,16.1,2026-09-07,17,Monday,7
2026-09-07 18:00:00,29.7,76,0.0,13.6,2026-09-07,18,Monday,7
2026-09-07 19:00:00,29.6,82,0.0,15.4,2026-09-07,19,Monday,7
2026-09-07 20:00:00,29.5,81,0.0,14.5,2026-09-07,20,Monday,7
2026-09-07 21:00:00,29.3,82,0.0,12.1,2026-09-07,21,Monday,7
2026-09-07 22:00:00,29.1,85,0.0,12.4,2026-09-07,22,Monday,7
2026-09-07 23:00:00,28.9,86,0.0,15.0,2026-09-07,23,Monday,7
2026-09-08 00:00:00,28.7,84,0.0,16.6,2026-09-08,0,Tuesday,8
2026-09-08 01:00:00,28.4,81,0.0,16.1,2026-09-08,1,Tuesday,8
2026-09-08 02:00:00,27.9,80,0.0,13.7,2026-09-08,2,Tuesday,8
2026-09-08 03:00:00,27.5,80,0.0,12.6,2026-09-08,3,Tuesday,8
2026-09-08 04:00:00,27.0,81,0.0,11.3,2026-09-08,4,Tuesday,8
2026-09-08 05:00:00,26.7,84,0.0,9.2,2026-09-08,5,Tuesday,8
2026-09-08 06:00:00,26.6,85,0.0,7.5,2026-09-08,6,Tuesday,8
2026-09-08 07:00:00,27.9,81,0.0,5.2,2026-09-08,7,Tuesday,8
2026-09-08 08:00:00,30.1,75,0.0,6.1,2026-09-08,8,Tuesday,8
2026-09-08 09:00:00,32.4,61,0.0,8.7,2026-09-08,9,Tuesday,8
